all,primary_care
0.0022052075,0.026262587
0.01670255,0.018741224
0.015525535,0.06246811
0.007665527,0.040845554
0.68237424,0.030392503
0.038246218,0.13564913
0.091690086,0.5321968
0.7167284,0.627682
0.46019897,0.9766747
0.06382819,0.035408076
0.08019573,0.03165397
0.30868772,0.5194509
0.043039855,0.07422988
0.0022738792,0.009986442
0.002363025,0.03383689
0.026478026,0.09079939
0.5978663,0.80085516
0.029703023,0.28561214
0.66029686,0.95476115
0.028242813,0.018666636
0.0051304763,0.012963343
0.056490466,0.44121215
0.96230775,0.54753745
0.9944886,0.84909683
0.21270779,0.04807897
0.050866924,0.22376801
0.14172798,0.058683492
0.25110894,0.9005188
0.04338983,0.20755892
0.047965966,0.32483247
0.38144204,0.92302
0.045784738,0.19215892
0.95942765,0.43440557
0.007146168,0.025583224
0.004971417,0.031158214
0.5516514,0.15293664
0.005001696,0.12416583
0.8047145,0.7583973
0.17899457,0.34228808
0.007498201,0.0344618
0.97464573,0.95698935
0.98881626,0.8531926
0.077220246,0.033649407
0.05365671,0.26157326
0.18975064,0.026298285
0.012935187,0.214377
0.009599115,0.11027892
0.0043273806,0.09035965
0.006412881,0.06734066
0.86407256,0.88445926
0.6568994,0.08634353
0.8470141,0.094487876
0.995596,0.813081
0.018582076,0.037873164
0.0043313354,0.043728165
0.0012196638,0.003929733
0.0026897974,0.024232533
0.9966924,0.981369
0.007829827,0.033380616
0.0075180344,0.0078096716
0.0030337165,0.041542586
0.0012780013,0.0066641597
0.008780338,0.36724192
0.028204769,0.10191363
0.010860301,0.08968976
0.9949064,0.9949567
0.9839153,0.9809558
0.9786205,0.74164903
0.033082586,0.3879299
0.949737,0.5453506
0.8240227,0.39774212
0.4055515,0.029954769
0.13949168,0.06284958
0.0071096043,0.07447312
0.014582736,0.21120466
0.9819765,0.82374024
0.0029300747,0.021817531
0.13628012,0.4867537
0.08613887,0.8839188
0.027013268,0.06406665
0.4867712,0.40030053
0.1310726,0.48866105
0.0012174242,0.022450808
0.28280234,0.21269271
0.12895519,0.18412334
0.9957331,0.9681377
0.005665673,0.039765507
0.013261377,0.41150418
0.0029890793,0.009233829
0.008216883,0.014953131
0.0068148635,0.009384284
0.008896274,0.08855324
0.0032411907,0.016579838
0.0034991978,0.07383307
0.18147916,0.861675
0.9726449,0.96197844
0.0071252263,0.09366612
0.9124041,0.45860177
0.008637156,0.027256126
0.8417083,0.54770434
0.3555634,0.074622355
0.9904096,0.84373116
0.01216664,0.07224444
0.014523815,0.068441436
0.80193293,0.35465008
0.006137295,0.19365169
0.8819293,0.9047474
0.022458738,0.057518788
0.019312024,0.34936714
0.008660886,0.014655321
0.14249544,0.19207267
0.059105314,0.09649778
0.048520762,0.04052179
0.004165995,0.010398589
0.055661395,0.8187154
0.016603794,0.036121644
0.9802082,0.85584724
0.0030059603,0.014788658
0.052574843,0.21735181
0.9035791,0.15114303
0.005814976,0.017051958
0.8159511,0.28164116
0.0114769405,0.080909476
0.13104688,0.5053525
0.99139965,0.9554329
0.23410054,0.038092386
0.0033241068,0.023771284
0.73541254,0.58693963
0.0077609215,0.041916445
0.00661685,0.02172629
0.012777141,0.09389631
0.99455124,0.9497072
0.69192713,0.37637782
0.04542876,0.057839215
0.00398993,0.065293886
0.009639504,0.0091181295
0.0019111726,0.021357808
0.015702935,0.09944576
0.003212964,0.01859156
0.015622355,0.27934808
0.011340336,0.059875786
0.9689077,0.54340774
0.0025978151,0.010908607
0.9917418,0.94371444
0.8831071,0.9603394
0.0028234543,0.04731051
0.013905236,0.43582773
0.7136095,0.9378866
0.0031382067,0.025685186
0.7597503,0.34116784
0.17657143,0.5481958
0.9910613,0.7848162
0.068143375,0.047543004
0.0050162426,0.03531628
0.9878357,0.9095188
0.020239947,0.1467538
0.9143858,0.84301484
0.35668972,0.15184623
0.994588,0.73902416
0.099782094,0.7918016
0.036999125,0.028253533
0.0034115156,0.042685162
0.06341725,0.058084108
0.9798106,0.86270696
0.0012079921,0.07809325
0.002351609,0.008017384
0.97991437,0.708172
0.98737913,0.95826983
0.91409874,0.0862786
0.03821769,0.014484379
0.077137284,0.13040003
0.0025677287,0.08130455
0.82719463,0.042997226
0.0060257176,0.048885208
0.97484916,0.94796664
0.4208789,0.67819643
0.73306775,0.1277128
0.67727745,0.5350947
0.33502883,0.31871113
0.98984164,0.37354222
0.26178005,0.2555607
0.98279804,0.27989244
0.66584307,0.084748566
0.9373056,0.48300275
0.022592006,0.025664743
0.7662061,0.20557827
0.54706293,0.30449593
0.1585235,0.41588762
0.0076903948,0.09576764
0.040382676,0.143146
0.065090075,0.3523197
0.99432194,0.93544066
0.115313664,0.81588966
0.9256683,0.2539929
0.1374785,0.0149976
0.112714715,0.044218767
0.8975201,0.46655455
0.5915481,0.30246377
0.42467427,0.032624345
0.8565551,0.6802867
0.75314,0.025768586
0.9828567,0.45989236
0.006037304,0.018079266
0.54470646,0.08571739
0.62781096,0.043174136
0.002893455,0.004941269
0.92181534,0.660239
0.0023477091,0.018750658
0.2245756,0.48442972
0.005383973,0.09382768
0.13762215,0.016017292
0.0038134016,0.039737903
0.9363361,0.78616524
0.359823,0.11598543
0.0092109805,0.08787479
0.98982555,0.6970805
0.14493833,0.8999505
0.408362,0.4290744
0.39980966,0.04305111
0.104498275,0.9134141
0.051854536,0.72808695
0.11224952,0.10904209
0.593602,0.2504127
0.2879976,0.6199269
0.99259585,0.9902305
0.005594658,0.028961977
0.008383902,0.005123921
0.0017212664,0.059731446
0.03534459,0.15306057
0.10157839,0.25280443
0.098180145,0.39480492
0.0021814518,0.017289082
0.0034633693,0.012986616
0.09358207,0.013863106
0.0019168048,0.0148715405
0.4856651,0.077820115
0.10694943,0.4025974
0.0034264778,0.02259168
0.9345695,0.02974952
0.8590677,0.15243623
0.013514667,0.052689534
0.64604396,0.44248185
0.0017177018,0.013909912
0.0348534,0.017913746
0.039664533,0.010098787
0.68022543,0.057886265
0.031871308,0.01920493
0.0013620107,0.006676918
0.004724948,0.069820315
0.9686385,0.42605427
0.26971996,0.076635286
0.05099087,0.3042886
0.70744747,0.18774231
0.53957856,0.14620125
0.015756635,0.08702584
0.07092943,0.42006505
0.3690581,0.31203863
0.0035726677,0.016017277
0.004605948,0.01424196
0.36632103,0.008873058
0.0031970795,0.02665908
0.0047238814,0.032732744
0.36571473,0.080983326
0.24680655,0.20983595
0.058921732,0.1008911
0.002379047,0.009243164
0.015585675,0.014398486
0.0011865275,0.009958547
0.18191074,0.6653199
0.9891249,0.93139684
